urls,openai,huggingface
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Dysk_akrecyjny,0.2196,0.3149
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Agamemnon,0.215,0.4586
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.2149,0.2039
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Hekabe,0.2134,0.3339
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.2127,0.3718
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.2127,0.3138
https://pl.wikipedia.org/wiki/Ciemna_energia vs https://pl.wikipedia.org/wiki/Agamemnon,0.2124,0.4499
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Zbrojni,0.212,0.3933
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.2116,0.538
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Penelopa,0.2115,0.4492
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Blazar,0.2106,0.3566
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Hekabe,0.2106,0.3979
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.2097,0.2779
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne,0.2096,0.1625
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.2087,0.4034
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.2066,0.2357
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/Hekabe,0.2056,0.5232
https://pl.wikipedia.org/wiki/The_Blue_Marble vs https://pl.wikipedia.org/wiki/Hekabe,0.2042,0.5316
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Agamemnon,0.2039,0.5258
https://pl.wikipedia.org/wiki/Ciemna_energia vs https://pl.wikipedia.org/wiki/Penelopa,0.2012,0.3816
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Achilles,0.1994,0.2164
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Agamemnon,0.199,0.3011
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Dysk_akrecyjny,0.1976,0.2568
https://pl.wikipedia.org/wiki/Ciemna_energia vs https://pl.wikipedia.org/wiki/Hekabe,0.1955,0.3827
https://pl.wikipedia.org/wiki/The_Blue_Marble vs https://pl.wikipedia.org/wiki/Penelopa,0.1939,0.5258
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.1919,0.3635
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/Agamemnon,0.1911,0.4771
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Zbrojni,0.1894,0.3165
https://pl.wikipedia.org/wiki/Pale_Blue_Dot vs https://pl.wikipedia.org/wiki/Agamemnon,0.1884,0.5703
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.1869,0.3279
